優先度,項目,這是什麼,行程日期,建議預訂時間,價格NZD,預訂網址1,預訂網址2,狀態,備註
🟡第二優先,TSS Earnslaw＋Walter Peak BBQ 晚餐,搭乘百年蒸汽船橫渡瓦卡蒂普湖，到對岸Walter Peak高原牧場吃BBQ晚餐、看剪羊毛秀,Day6（12/24平安夜）,10月中前——平安夜熱門場次,189起／人（4人756起）,https://www.realnz.com/zh-cn/experiences/dining/walter-peak-bbq-dining/,,,
🟡第二優先,Skyline Gondola＋Luge,搭纜車登山俯瞰皇后鎮全景，加碼滑草橇滑道體驗,Day7（12/25聖誕節）,10月中前——線上訂可免排隊,99／人（4人396）,https://www.skyline.co.nz/queenstown/,,,
🟡第二優先,Dark Sky Project 觀星團,蒂卡波湖國際暗空保護區專業導覽觀星，望遠鏡看南半球星空,Day11（12/29）21:30／Day12（12/30）備用,10月中前,219／人（4人876，價格僅公布至2026/9/30）,https://www.darkskyproject.co.nz,,,
🟡第二優先,租車 SUV＋Zero Excess 全險,全程16天自駕用車，含車輛碰撞/竊盜零自付額全險,Day1取車–Day16還車,10月中前——確認4位授權駕駛與行李容量,約1500–1800（4人合計）,https://www.apexrentals.co.nz/,https://www.ezicarrental.co.nz/,,
🟢第三優先,奧瑪魯藍企鵝棲息地,傍晚在觀賞台等野生藍企鵝群從海上游泳返巢，紐西蘭特有種,Day2（12/20）約19:00–21:00間,11月底前,47／人（4人188，Premium為63/人）,https://www.penguins.co.nz/,,,
🟢第三優先,Willowbank Wildlife Reserve,近距離觀察紐西蘭國寶奇異鳥（夜行館）＋多種原生鳥類與動物園區,Day14（1/1元旦）約11:00起,11月底前，通常不會太快額滿,28／人（4人112；加購導覽摸奇異鳥54/人）,https://www.willowbank.co.nz/,,,
⚪自由參加,Kawarau Bridge Bungy,世界第一個商業高空彈跳橋，從43公尺高的橋上一躍而下,Day8（12/26）,自由參加，建議提前1-2週上網訂（旺季）,320／位參加者,https://www.bungy.co.nz/queenstown/kawarau-bungy-centre/kawarau-bridge-bungy/,,,
⚪自由參加,Puzzling World,視覺錯覺展覽館＋大型戶外迷宮，適合闔家挑戰,Day9（12/27）,自由參加，現場買票也可以,32.50／人（全套Combo）,https://www.puzzlingworld.co.nz/,,,
⚪自由參加,Akaroa 賞豚遊船／海豚共游,出海尋找野生海豚，法式港灣小鎮外海；可選單純賞豚遊船或下水與海豚共游,Day15（1/2）,已改為自由參加，若想參加建議提前1-2個月（旺季）,Nature Cruise130／人（4人520）；Swimming with Dolphins250／人（4人1000）,https://www.blackcat.co.nz/,,,已改為自由參加非必要行程
💡備註,Tasman Glacier Explorers 冰河船,巴士＋步行到湖邊搭船看浮冰，是直升機健行的天候備案,Day11天候備案,不需事先訂票，直升機取消當天現場改訂即可,不佔預算,https://www.hermitage.co.nz/experience/glacier-explorers/,,,天候備案用
💡備註,Fishwife,Moeraki海邊魚薯條店,Day2午餐,無官網，電話或現場候位,不適用,https://www.facebook.com/MoerakiFishWife/,,,電話 +64 27 201 5171
💡備註,North Hagley Park 跨年活動,CCC主辦的免費戶外演唱會＋跨年煙火秀,Day13,免費入場現場排隊即可,免費,https://www.christchurchnz.com/visit/whats-on/new-years-eve,,,今年細節10-11月才會公告
